
Ms. or. oct. 1258	PPN1004501633	http://resolver.staatsbibliothek-berlin.de/SBB0002111200000000		1845	Buch über den Pfad des Mönchtum, der Demut und der Askese
Sachau 139	PPN1011367041	http://resolver.staatsbibliothek-berlin.de/SBB0002198D00000000	[1881/1882]	1881 1882	Kalila va Dimna
Sachau 150	PPN1011368668	http://resolver.staatsbibliothek-berlin.de/SBB0002198E00000000		1882	Kalila va Dimna
Sachau 149	PPN1011369478	http://resolver.staatsbibliothek-berlin.de/SBB0002199000000000	[1883?]	1883	Kalila va Dimna
Ms. or. quart. 1168	PPN1015507549	http://resolver.staatsbibliothek-berlin.de/SBB00021F9300000000	[1895-1897]	1895 1897	Syrische Sammelhandschrift
Sachau 352	PPN1015522602	http://resolver.staatsbibliothek-berlin.de/SBB00021F9800000000	1200 1299 [13. Jh.]	1200 1299	Sammlung monastischer Schriften und Auszüge von verschiedenen Autoren
Ms. or. quart 1159	PPN1015528252	http://resolver.staatsbibliothek-berlin.de/SBB00021F9900000000		1898	Schriften
Ms. or. fol. 3119	PPN1015534023	http://resolver.staatsbibliothek-berlin.de/SBB00021F9A00000000	1600 1699	1600 1699	Syrisches Medizinbuch
Petermann I 13	PPN1018588175	http://resolver.staatsbibliothek-berlin.de/SBB0002242F00000000	1600 1699 [17. Jh.(älterer Teil), 19. Jh. (Ergänzung)]	1600 1699	Sermo de philosophia
Sachau 113	PPN102447576X	http://resolver.staatsbibliothek-berlin.de/SBB00022C1200000000		1803	Sammlung von Gedichten ܡܐܡܪ̈ܐ
Sachau 177	PPN1027491979	http://resolver.staatsbibliothek-berlin.de/SBB0002332400000000		1580	Gedichte
Sachau 202	PPN1027495079	http://resolver.staatsbibliothek-berlin.de/SBB0002332600000000	1400 1499 [15. Jh.]	1400 1499	Sammlung monastischer Literatur
Sachau 203	PPN1027495818	http://resolver.staatsbibliothek-berlin.de/SBB0002332800000000	1400 1499 [15. Jh.]	1400 1499	Sammlung monastischer Literatur
Sachau 124	PPN1027496512	http://resolver.staatsbibliothek-berlin.de/SBB0002332A00000000		1851	Gedichte
Ms. or. quart. 940	PPN1027511465	http://resolver.staatsbibliothek-berlin.de/SBB0002333500000000		1885	Sammelhandschrift
Ms. or. quart. 941	PPN1027629490	http://resolver.staatsbibliothek-berlin.de/SBB000233EC00000000	[um 1890]	1890	Memre
Sachau 99	PPN1027631339	http://resolver.staatsbibliothek-berlin.de/SBB000233EF00000000	1700 1799 [18. Jh.?]	1700 1799	Gedichte
Sachau 65	PPN1030650853	http://resolver.staatsbibliothek-berlin.de/SBB000239D300000000		1765	Katholischer Katechismus
Diez A quart. 105	PPN1031658084	http://resolver.staatsbibliothek-berlin.de/SBB00023DA600000000		1275	Testamentum novum
Sachau 104	PPN1663517207	http://resolver.staatsbibliothek-berlin.de/SBB00026F2900000000	1300 1399 [14.Jh.]	1300 1399	Evangelia
Sachau 349	PPN1700239449	http://resolver.staatsbibliothek-berlin.de/SBB0002C9F400000000	1000 1099 [11. Jh.?]	1000 1099	Westsyrische Gesänge
Sachau 333	PPN1738399214	http://resolver.staatsbibliothek-berlin.de/SBB0002E75B00000000	1500 1599 [16./17. Jh.; jüngerer Teil 18. Jh.]	1500 1599	Nomocanon
Sachau 49	PPN1738410307	http://resolver.staatsbibliothek-berlin.de/SBB0002E75C00000000		1785	Nomocanon
Petermann I 14	PPN1756001839	http://resolver.staatsbibliothek-berlin.de/SBB0002FDF400000000		1841	Gedichtsammlung
Ms. or. quart. 1052	PPN1756033765	http://resolver.staatsbibliothek-berlin.de/SBB0002FE0A00000000		1649	Syrische Sammelhandschrift
Ms. or. quart. 887	PPN1787088995	https://resolver.staatsbibliothek-berlin.de/SBB0003268B00000000		1865	Sammelhandschrift
Petermann I 30	PPN1806513684	https://resolver.staatsbibliothek-berlin.de/SBB00032F4400000000	1400 1499 [zwischen 15. Jahrhundert und 18. Jahrhundert?]	1400 1499	Syrische Sammelhandschrift
Petermann I 31	PPN1806523183	https://resolver.staatsbibliothek-berlin.de/SBB00032F4A00000000		1537	Oktoechus
Sachau 98	PPN625957768	http://resolver.staatsbibliothek-berlin.de/SBB00001CE800000000			Syrische Sammelhandschrift
Sachau 167	PPN627010946	http://resolver.staatsbibliothek-berlin.de/SBB00001DC700000000			Gebetsammlungen von Elias, Bischof  von Nisibis (Abu-Ḥalīm)
Sachau 72	PPN641662793	http://resolver.staatsbibliothek-berlin.de/SBB00003A3400000000			Sammelhandschrift
Sachau 169	PPN644652233	http://resolver.staatsbibliothek-berlin.de/SBB00003F3E00000000			Hexaëmeron
Sachau 309	PPN644653264	http://resolver.staatsbibliothek-berlin.de/SBB00003F4000000000			Hexaëmeron
Sachau 67	PPN657048046	http://resolver.staatsbibliothek-berlin.de/SBB00004EE700000000			Verteidigung des Christentums, speziell des Nestorianischen, gegenüber dem Islam
Sachau 96	PPN662317793	http://resolver.staatsbibliothek-berlin.de/SBB0000530D00000000			Mitteilungen über persönliche Erlebnisse, die erste Einführung der Amerikanischen Mission in Mosul, den Streit mit dem Matran Behnan von Mosul, den Übertritt des Schreibers zum Protestantismus und damit zusammenhängende Dinge
Ms. or. oct. 553	PPN662319249	http://resolver.staatsbibliothek-berlin.de/SBB0000531F00000000			Zauberformeln
Ms. or. fol. 620	PPN662349172	http://resolver.staatsbibliothek-berlin.de/SBB0000532400000000			Liturgisches Werk. Thesaurus für das ganze Jahr nach dem Gebrauch des Oberen Klosters des Mâr Gabriel in Mosul
Sachau 322	PPN66400010X	http://resolver.staatsbibliothek-berlin.de/SBB000055D700000000			Evangeliarium nach der Ḥarḳlensis, zum Teil auch nach der Peshiṭtá
Sachau 196	PPN664001289	http://resolver.staatsbibliothek-berlin.de/SBB000055A900000000			Anaphora
Sachau 45	PPN66767960X	http://resolver.staatsbibliothek-berlin.de/SBB00005C6200000000			Legenden
Sachau 12	PPN669222658	http://resolver.staatsbibliothek-berlin.de/SBB0000642E00000000			Syrische Kirchengeschichte
Sachau 222	PPN684923882	http://resolver.staatsbibliothek-berlin.de/SBB0000749500000000		1881	Acta Sanctorum
Sachau 62	PPN689264429	http://resolver.staatsbibliothek-berlin.de/SBB00007EEE00000000		1838	Erklärung der Messe
Sachau 102	PPN689266340	http://resolver.staatsbibliothek-berlin.de/SBB00007EEF00000000	1800 1899	1800 1899	Aufsätze
Sachau 9	PPN716365065	http://resolver.staatsbibliothek-berlin.de/SBB0000896500000000		1695	Legenden
Sachau 87	PPN72427801X	http://resolver.staatsbibliothek-berlin.de/SBB00009FA800000000		1845	Sammelhandschrift
